"Figure 15: Population count by UK Parliamentary Constituency, mid-2020",,,,,,,,,
,,,,,,,,,
Population count,Number of constituencies,,,,,,,,
"< 50,000",2,,,,,,,,
"50,000 to 59,999",0,,,,,,,,
"60,000 to 69,999",2,,,,,,,,
"70,000 to 79,999",2,,,,,,,,
"80,000 to 89,999",16,,,,,,,,
"90,000 to 99,999",21,,,,,,,,
"100,000 or more",16,,,,,,,,
,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,
