"Figure 11: Percentage of population in most deprived SIMD decile by council area, mid-2020",,,,,,,,,,,
,,,,,,,,,,,
Council area,Percentage of population in decile 1 (most deprived),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Orkney Islands,0%,,,,,,,,,,
Shetland Islands,0%,,,,,,,,,,
Na h-Eileanan Siar,0%,,,,,,,,,,
Moray,1%,,,,,,,,,,
Aberdeenshire,1%,,,,,,,,,,
East Lothian,1%,,,,,,,,,,
Angus,1%,,,,,,,,,,
East Renfrewshire,1%,,,,,,,,,,
Aberdeen City,2%,,,,,,,,,,
Perth and Kinross,2%,,,,,,,,,,
Scottish Borders,2%,,,,,,,,,,
Midlothian,2%,,,,,,,,,,
East Dunbartonshire,2%,,,,,,,,,,
Highland,4%,,,,,,,,,,
Argyll and Bute,4%,,,,,,,,,,
City of Edinburgh,4%,,,,,,,,,,
West Lothian,5%,,,,,,,,,,
Falkirk,5%,,,,,,,,,,
Dumfries and Galloway,5%,,,,,,,,,,
Stirling,5%,,,,,,,,,,
Fife,7%,,,,,,,,,,
South Ayrshire,9%,,,,,,,,,,
South Lanarkshire,9%,,,,,,,,,,
Clackmannanshire,10%,,,,,,,,,,
North Lanarkshire,12%,,,,,,,,,,
Renfrewshire,13%,,,,,,,,,,
East Ayrshire,14%,,,,,,,,,,
North Ayrshire,16%,,,,,,,,,,
West Dunbartonshire,17%,,,,,,,,,,
Dundee City,23%,,,,,,,,,,
Glasgow City,29%,,,,,,,,,,
Inverclyde,30%,,,,,,,,,,
,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,
,,,,,,,,,,,
