DataZone2011Code,DataZone2011Name,CouncilArea2019Name,ageband,count
S01010504,Lochaber West - 01,Highland,All ages,580
S01010505,Lochaber West - 02,Highland,All ages,513
S01010506,Lochaber West - 03,Highland,All ages,875
S01010507,Lochaber West - 04,Highland,All ages,662
S01010508,Lochaber West - 05,Highland,All ages,1091
S01010509,Lochaber West - 06,Highland,All ages,1032
S01010510,Fort William North - 01,Highland,All ages,1007
S01010511,Fort William North - 02,Highland,All ages,874
S01010512,Fort William North - 03,Highland,All ages,572
S01010513,Fort William North - 04,Highland,All ages,779
S01010514,Fort William North - 05,Highland,All ages,680
S01010515,Fort William North - 06,Highland,All ages,744
S01010516,Fort William South - 01,Highland,All ages,588
S01010517,Fort William South - 02,Highland,All ages,780
S01010518,Fort William South - 03,Highland,All ages,646
S01010519,Fort William South - 04,Highland,All ages,773
S01010520,Fort William South - 05,Highland,All ages,842
S01010521,Fort William South - 06,Highland,All ages,795
S01010522,Fort William South - 07,Highland,All ages,593
S01010523,Fort William South - 08,Highland,All ages,548
S01010524,Lochaber East and North - 01,Highland,All ages,518
S01010525,Lochaber East and North - 02,Highland,All ages,644
S01010526,Lochaber East and North - 03,Highland,All ages,770
S01010527,Lochaber East and North - 04,Highland,All ages,761
S01010528,Lochaber East and North - 05,Highland,All ages,636
S01010529,Lochaber East and North - 06,Highland,All ages,706
S01010530,Lochaber East and North - 07,Highland,All ages,674
S01010531,Badenoch and Strathspey South - 01,Highland,All ages,1111
S01010532,Badenoch and Strathspey South - 02,Highland,All ages,548
S01010533,Badenoch and Strathspey South - 03,Highland,All ages,572
S01010534,Badenoch and Strathspey South - 04,Highland,All ages,892
S01010535,Badenoch and Strathspey South - 05,Highland,All ages,704
S01010536,Badenoch and Strathspey Central - 01,Highland,All ages,828
S01010537,Badenoch and Strathspey Central - 02,Highland,All ages,718
S01010538,Badenoch and Strathspey Central - 03,Highland,All ages,1121
S01010539,Badenoch and Strathspey Central - 04,Highland,All ages,1086
S01010540,Badenoch and Strathspey Central - 05,Highland,All ages,633
S01010541,Badenoch and Strathspey Central - 06,Highland,All ages,875
S01010542,Badenoch and Strathspey North - 01,Highland,All ages,951
S01010543,Badenoch and Strathspey North - 02,Highland,All ages,674
S01010544,Badenoch and Strathspey North - 03,Highland,All ages,852
S01010545,Badenoch and Strathspey North - 04,Highland,All ages,757
S01010546,Badenoch and Strathspey North - 05,Highland,All ages,828
S01010547,Badenoch and Strathspey North - 06,Highland,All ages,798
S01010548,Nairn Rural - 01,Highland,All ages,693
S01010549,Nairn Rural - 02,Highland,All ages,1686
S01010550,Nairn Rural - 03,Highland,All ages,522
S01010551,Nairn Rural - 04,Highland,All ages,816
S01010552,Nairn Rural - 05,Highland,All ages,743
S01010553,Nairn Rural - 06,Highland,All ages,591
S01010554,Nairn East - 01,Highland,All ages,715
S01010555,Nairn East - 02,Highland,All ages,875
S01010556,Nairn East - 03,Highland,All ages,1001
